dataset,predictor_mutual_R2,black_box_R2,var_2d,coverage@10,fidelity@10,fidelity@40,coverage@10_std,fidelity@10_std
BODY (expect high redundancy),0.7538349678623449,0.5551938569882141,0.9457103370044921,0.9091633466135459,0.15414141491105604,0.16164669490711006,0.03440164644609227,0.0030477433790371804
ENERGY (expect medium redundancy),1.0,0.8530631721449631,0.9649713778333263,0.81015625,0.2957737269690441,0.21735294617807116,0.05034467785716448,0.055198917334566194
CONCRETE (expect low redundancy),-0.47907072698475756,0.10284408837584977,0.7752619156564194,0.9054368932038835,0.4635130314941134,0.4434511511658683,0.04854213589747495,0.09566960169721708
